track_name,artistas,track_popularity,track_album_name,playlist_genre,playlist_subgenre,followers,popularity,imagem_artista_url
Falling Down,Dylan 'N' Alice,11,Dylan 'N' Alice,rock,hard rock,,,
Lazarus,Porcupine Tree,1,Deadwing (Intl Download),rock,album rock,,,
La Vuelta al Mundo,Aczino,0,Psicofonia,rap,gangster rap,,,
Baila Baila Baila,Ozuna,65,Baila Baila Baila,latin,reggaeton,22546181.0,93.0,https://i.scdn.co/image/eb96dd68df597004997e541278651eda54bcc00d
Stars,Callalily,60,Destination XYZ,rock,classic rock,,,
Call Me,In This Moment,0,Call Me,rock,hard rock,,,
Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,70,Hands All Over,pop,post-teen pop,23843388.0,89.0,https://i.scdn.co/image/608c7b23420c9556a7eabd9097f7e171a91d3871
Virus (How About Now),Martin Garrix,3,Virus (How About Now),edm,big room,13090645.0,85.0,https://i.scdn.co/image/19b193e731a99776449d2b06742942e1e1f58fb2
Hair Down (feat. Kendrick Lamar),SiR,67,Chasing Summer,r&b,urban contemporary,293974.0,70.0,https://i.scdn.co/image/ebb405d155a76d5a29704eb4c29235ffdcaf0e20
Swamp Music,Lynyrd Skynyrd,0,The Complete Collection,rock,classic rock,2697453.0,75.0,https://i.scdn.co/image/ae580d5ee491fc30bb9077018331e6c3e3ecd089
Time Machine,Alicia Keys,66,Time Machine,r&b,hip pop,7447414.0,82.0,https://i.scdn.co/image/e22dcb4ff37667bf1cd605639ec393d1e5dce1db
Aquarius / Let the Sunshine In (The Flesh Failures) [Remastered],The 5th Dimension,55,The Age Of Aquarius,rock,classic rock,,,
Scream,TV Noise,29,Scream,edm,electro house,,,
Amazing,One Eskimo,29,One eskimO,r&b,neo soul,,,
Toxico,Brytiago,75,Toxico,latin,reggaeton,2345898.0,81.0,https://i.scdn.co/image/4e6ca93cbe31465e6703e48861bfb07f3b45c641
You should be sad,Halsey,14,You should be sad,r&b,hip pop,10299167.0,90.0,https://i.scdn.co/image/1ccc88afcd13131dc35a1bd028922dbc748a55fb
Good Life,OneRepublic,70,Waking Up,pop,indie poptimism,9770529.0,85.0,https://i.scdn.co/image/5d3c1ba4fe1c8bf44591864e725d7b0f98e46755
Marathon,Raheem DeVaughn,31,Love Behind The Melody,r&b,neo soul,,,
I Don't Wanna Be Funny Anymore,Lucy Dacus,57,No Burden,r&b,hip pop,,,
Virtual Diva,Don Omar,1,Fast and Furious,latin,latin hip hop,4036436.0,81.0,https://i.scdn.co/image/043aa595a838e80632c902d8397cb3232f299566
Confident,Demi Lovato,74,Confident (Deluxe Edition),latin,latin hip hop,17019014.0,86.0,https://i.scdn.co/image/51e7125964a144d5720af2a4c693255bed18443e
Hace Tiempo,Fonseca,2,Corazon,latin,latin pop,,,
Save Me - Radio Edit,Timo Odv,1,Save Me (Radio Edit),edm,pop edm,,,
Petty Lover,Jaz Karis,54,Pretty Dreamer / Petty Lover,r&b,urban contemporary,,,
Strong,Dropout,30,Strong,pop,indie poptimism,,,
I Want Your Love,Ballin Entertainment,0,Ultimate Freestyle Mega Mix,latin,latin hip hop,,,
Por Ti,Morbo,18,Morbo,pop,electropop,,,
Follow,Tom Misch,54,Reverie,r&b,neo soul,626052.0,74.0,https://i.scdn.co/image/fad839d0564bf98f27a0b0fa048d7b0ec0033651
Killing Butterflies,Lewis Blissett,53,Killing Butterflies,latin,latin hip hop,,,
Don't Wanna Be Your Girl,Wet,46,Don't You,r&b,hip pop,,,
Mo Bamba,Sheck Wes,10,Mo Bamba,rap,trap,845047.0,73.0,https://i.scdn.co/image/c0f2b79210f155ffbc25a5a3900d3918566cec6b
The Village,Wrabel,66,The Village,pop,indie poptimism,,,
Demons,Alec Benjamin,62,Demons,latin,latin hip hop,1458924.0,82.0,https://i.scdn.co/image/3456c9584254a3269549795b0bd63e841a86e974
TIRy,BORCREW,57,TIRy,rap,hip hop,,,
Drive Slow,Skrizzly Adams,36,Drive Slow,rock,hard rock,,,
Un Beso,Marcos Menchaca,51,Cada Vez Más < :-),latin,latin pop,,,
Fantasias,Rauw Alejandro,92,Fantasias,r&b,hip pop,867162.0,89.0,https://i.scdn.co/image/a7d7f547bd026af653b776c7f2a730acfe9bc261
Yesterday Is Gone,Dash Berlin,37,Yesterday Is Gone,edm,progressive electro house,,,
Guardia Civil,Reda Rwena,31,Guardia Civil,rap,gangster rap,41149.0,46.0,https://i.scdn.co/image/09ae5df952d19c7c7664882a46f094aec98fc3d5
I Like That,The Last Skeptik,40,I Like That,rap,hip hop,,,
Here Tomorrow,OUTRAGE,12,Here Tomorrow,edm,big room,,,
Dreams - 2004 Remaster,Fleetwood Mac,79,Rumours (Super Deluxe),rock,classic rock,4475818.0,82.0,https://i.scdn.co/image/8976b6b0aacba6f7859b1f0ab7bc0adcd6ea7444
Angelito - Remastered 2016,Don Omar,49,King Of Kings 10th Anniversary (Remastered),latin,reggaeton,4036436.0,81.0,https://i.scdn.co/image/043aa595a838e80632c902d8397cb3232f299566
Pumped Up Kicks,Foster The People,83,Torches,pop,dance pop,2877626.0,77.0,https://i.scdn.co/image/82babf927d68d75373df483836b21aa4bf9446d0
Cántalo,Ricky Martin,72,Cántalo,latin,tropical,5320927.0,79.0,https://i.scdn.co/image/76390c7321e976a63a5124124915765a784de36b
(Rock) Superstar,Cypress Hill,60,Skull & Bones,edm,big room,,,
Death (feat. DaBaby),Trippie Redd,82,Death (feat. DaBaby),rap,hip hop,4543729.0,89.0,https://i.scdn.co/image/955a9b53451b9c97a6571202eccfe0b2b94a9e50
Invocation,Reinier Zonneveld,8,Best of Stil vor Talent 2017,edm,progressive electro house,,,
The Stroke - Remastered,Billy Squier,64,Don't Say No,rock,album rock,,,
I Decided,Liv Warfield,0,Embrace Me,r&b,neo soul,,,
You’ve Made Your Bed (So Sleep In It),You Me At Six,0,Take Off Your Colours,pop,post-teen pop,600275.0,63.0,https://i.scdn.co/image/25a0fd110f4e02c65232203673e7eeb4da1ba817
On My Mind,Galactus Jack,24,Younger Days,edm,progressive electro house,,,
PILLOWTALK,ZAYN,78,Mind Of Mine (Deluxe Edition),edm,pop edm,11311401.0,83.0,https://i.scdn.co/image/90e30d448412c75b896da19a68db1da01ed99133
You,Boytronic,34,Maxi,pop,electropop,,,
Red Lights,Tiësto,2,Red Lights,edm,progressive electro house,4969305.0,83.0,https://i.scdn.co/image/75b06fb7f4eef88d06067ad277840ccfec3eb1b1
